TransactionID,AccountID,TransactionAmount,Location,DeviceID,IP Address,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,DayOfWeek,Hour,Month,DaysSinceLastTransaction,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Cluster,Cluster_PCA
TX000016,AC00270,0.575070400083101,Denver,D000466,221.169.49.152,M025,-0.4876121484732478,0.13376284041566644,-0.2067936485059295,-0.4227417455289484,1,16,12,-328,True,False,False,True,False,False,1,1
TX000017,AC00317,0.8846067996697973,Austin,D000671,53.218.177.171,M048,-1.443277355155591,0.5483456943384226,-0.2067936485059295,-1.021249610057465,0,16,10,-371,False,True,False,False,False,True,2,1
TX000018,AC00359,0.669216058750975,Columbus,D000432,114.223.129.47,M059,-0.31896534729401077,1.6348386908256458,-0.2067936485059295,-0.0011109695866326143,3,18,12,-326,True,False,True,True,False,False,1,1
TX000019,AC00242,-0.9555502666944129,Albuquerque,D000530,93.218.115.132,M054,0.8053466605675694,-0.19504425062651956,-0.2067936485059295,0.7266529330633243,1,16,2,-622,False,True,False,False,True,False,2,1
TX000020,AC00285,-0.7746590447998077,Columbus,D000039,120.170.93.69,M039,-1.49949295554867,0.7056012596194681,-0.2067936485059295,0.3728782439432717,3,18,6,-515,False,False,True,False,False,True,0,1
TX000021,AC00002,-0.8163188413573532,Los Angeles,D000152,116.44.12.250,M040,1.4799338652845175,-1.1671695632729824,-0.2067936485059295,0.1632204990176552,1,16,2,-615,True,True,False,False,True,False,1,1
TX000022,AC00014,-0.7257019319044686,Las Vegas,D000268,59.132.247.252,M065,-0.3751809476870898,-0.38089173686775507,-0.2067936485059295,1.0337731972516602,4,18,8,-451,True,True,False,False,False,False,1,1
TX000023,AC00095,-0.8407117485522317,Atlanta,D000142,133.63.96.21,M022,-0.31896534729401077,0.005099196094811046,-0.2067936485059295,0.9898622453182356,1,18,6,-517,True,False,True,True,False,False,1,1
TX000024,AC00453,0.16529011502981078,Fort Worth,D000162,191.82.103.198,M083,-1.274630553976354,0.319610326656902,3.1124756489183207,-0.9517038515474685,1,18,5,-552,True,False,True,False,False,True,0,1
TX000025,AC00241,-0.5209316983317309,Raleigh,D000036,119.186.154.104,M028,-1.330846154369433,-0.33800385542746997,-0.2067936485059295,-0.8162070533532758,3,16,3,-613,True,False,True,False,False,True,1,1
TX000026,AC00041,-0.9938868722436672,Houston,D000671,81.248.235.147,M043,1.1426402629260435,2.2352690309896377,-0.2067936485059295,-0.37937692420172625,4,17,10,-381,False,False,True,False,True,False,0,1
TX000027,AC00441,-0.1735725887125261,Miami,D000046,55.154.161.250,M029,-1.218414953583275,0.5483456943384226,6.431744946342571,-1.138657434417119,0,16,4,-567,True,False,False,False,False,True,0,0
TX000028,AC00057,-0.8814122734785179,Milwaukee,D000310,21.28.32.1,M008,-0.4313965480801688,-0.35229981590756504,-0.2067936485059295,-0.6224819637654089,2,16,3,-586,True,True,False,True,False,False,1,1
TX000029,AC00390,-0.5829074976513031,Las Vegas,D000232,152.234.65.155,M092,-0.03788734532861574,1.1058881530621294,-0.2067936485059295,-0.8569489093746535,1,16,1,-650,True,False,True,False,False,False,1,1
TX000030,AC00313,-0.82711064720902,Detroit,D000297,33.28.138.82,M043,-0.9935525520109589,2.335340754350303,-0.2067936485059295,-0.9647315022991751,2,16,9,-411,True,True,False,False,False,True,1,1
TX000031,AC00367,-0.9225581745193173,Miami,D000587,35.67.21.23,M091,0.8053466605675694,-1.4244968519146932,-0.2067936485059295,0.8256487204129397,0,17,7,-476,False,False,True,False,False,False,2,1
TX000032,AC00291,-0.8170040353796812,Baltimore,D000282,187.199.178.27,M053,-0.8811213512248008,1.963645781867832,-0.2067936485059295,1.2074709339519887,0,16,2,-637,True,False,False,False,False,False,1,1
TX000033,AC00060,0.33867846237992383,New York,D000621,133.67.250.163,M007,0.2431906566367793,0.6913052991393731,3.1124756489183207,1.1732441853031925,0,16,9,-406,True,False,False,True,False,False,0,1
TX000034,AC00359,1.9878034353190734,Los Angeles,D000111,134.140.85.231,M094,-1.274630553976354,0.4339780104976623,-0.2067936485059295,-1.2090005948920401,0,17,3,-602,True,False,True,False,False,True,1,1
TX000035,AC00365,-0.1450342576825629,San Francisco,D000357,92.214.76.157,M002,0.018328255064463266,-0.995618037511842,-0.2067936485059295,2.487475439210654,4,16,10,-374,False,True,False,False,False,False,0,1
TX000036,AC00267,-0.5921233572516154,Seattle,D000042,59.145.242.13,M002,0.2431906566367793,-1.0670978399123172,-0.2067936485059295,0.16676650196778517,0,16,10,-385,True,True,False,True,False,False,1,1
TX000037,AC00404,-0.7518763435574001,Milwaukee,D000250,33.28.138.82,M028,-1.0497681524040379,0.3624982080971871,-0.2067936485059295,-1.0803881191281433,1,16,11,-349,True,True,False,False,False,True,1,1
TX000038,AC00202,1.204866485705928,San Jose,D000448,73.108.76.238,M074,1.7047962668568335,0.24813052425642676,-0.2067936485059295,-0.0611366203932074,3,17,3,-613,True,False,False,False,True,False,1,1
TX000039,AC00478,1.7051609011087532,Mesa,D000077,49.29.37.185,M048,1.1988558633191224,-0.42377961830804023,1.4528410002061958,0.7180661189780133,3,17,10,-389,True,False,False,False,False,False,0,1
TX000040,AC00405,0.1303109601899639,Oklahoma City,D000038,49.20.211.229,M040,0.5804842589952534,1.3775114021839352,-0.2067936485059295,-1.0499330048536357,1,17,1,-650,True,False,True,False,True,False,1,1
TX000041,AC00421,0.10578101419061983,San Antonio,D000557,6.234.101.35,M014,1.0302090621398854,-0.009196764385283997,-0.2067936485059295,-0.2027203390527713,0,18,7,-462,True,False,False,False,True,False,1,1
TX000042,AC00480,-0.9029958851818515,Philadelphia,D000627,109.105.179.186,M046,-0.3751809476870898,-1.4387928123947882,-0.2067936485059295,2.3332794367393115,0,16,1,-665,True,False,True,False,False,False,1,1
TX000043,AC00120,-0.19244968402766394,Charlotte,D000198,60.89.202.192,M044,0.6929154597814113,-0.052084645825569126,-0.2067936485059295,2.113427253831254,3,18,4,-564,False,False,True,False,False,False,2,1
TX000044,AC00117,-0.8300227218039142,Tucson,D000197,173.135.78.201,M009,-1.443277355155591,-0.03778868534547408,-0.2067936485059295,-1.2493091360192947,2,16,4,-572,True,False,False,False,False,True,1,1
TX000045,AC00011,0.023009576293391343,Louisville,D000685,77.208.193.198,M005,-0.9935525520109589,-1.2386493656734576,-0.2067936485059295,-1.0885928981884585,2,16,7,-467,True,True,False,False,False,True,1,1
TX000046,AC00401,0.47167462211379824,Chicago,D000297,197.162.55.147,M051,1.6485806664637546,-0.42377961830804023,-0.2067936485059295,-0.11307799983191522,2,17,10,-397,True,True,False,False,True,False,1,1
TX000047,AC00282,-0.4560095647161482,Baltimore,D000103,113.115.81.178,M070,-1.0497681524040379,-0.6382190255094659,-0.2067936485059295,-0.9243280934140357,2,16,12,-327,True,True,False,False,False,True,1,1
TX000048,AC00439,0.7285196013834677,Oklahoma City,D000397,186.135.2.148,M090,-1.443277355155591,-0.20934021110661458,-0.2067936485059295,-1.1108765653175832,0,16,10,-392,True,False,True,False,False,True,1,1
TX000049,AC00296,1.128193274607419,Denver,D000284,93.146.251.20,M023,-1.0497681524040379,0.2624264847365218,-0.2067936485059295,-1.243227343540836,0,16,11,-343,True,False,True,False,False,True,1,1
TX000050,AC00471,-0.9441417862226509,Sacramento,D000304,124.6.134.78,M055,-0.20653414650785276,0.7913770225000384,-0.2067936485059295,-0.9689877314367137,0,16,3,-588,False,False,True,True,False,False,2,1
TX000051,AC00159,0.43765473890521056,Kansas City,D000661,139.23.212.102,M040,1.3675026644983594,0.019395156574906088,-0.2067936485059295,-0.30941323475834487,0,16,2,-630,False,False,True,False,True,False,2,1
TX000052,AC00482,0.43498248221813124,Omaha,D000598,179.43.245.131,M015,0.35562185742293734,2.0637175052284973,-0.2067936485059295,0.017831814068870102,1,17,2,-622,True,False,True,True,False,False,1,1
TX000053,AC00115,-0.7268667617424263,Virginia Beach,D000235,194.174.252.1,M078,1.2550714637122016,0.3624982080971871,-0.2067936485059295,2.5103026729525246,2,16,6,-516,True,True,False,False,False,False,1,1
TX000054,AC00055,-0.4388454544568306,San Diego,D000442,42.219.228.159,M036,-0.9373369516178799,0.319610326656902,-0.2067936485059295,-1.0757037030833945,3,16,9,-424,True,True,False,False,False,True,1,1
TX000055,AC00419,-0.6610881355989335,Omaha,D000642,186.135.2.148,M095,0.9739934617468065,-0.42377961830804023,-0.2067936485059295,-0.1632040719035283,2,17,3,-586,True,False,False,False,True,False,1,1
TX000056,AC00374,0.06631383850452403,Mesa,D000013,81.102.230.41,M052,-1.105983752797117,-0.5238513416687055,-0.2067936485059295,-0.9718235081994352,4,17,8,-458,True,True,False,False,False,True,1,1
TX000057,AC00271,-0.8121391578211521,Columbus,D000462,1.198.76.182,M095,0.6929154597814113,-0.9670261165516518,-0.2067936485059295,-0.40495019493534623,3,17,12,-326,False,True,False,False,True,False,2,1
TX000058,AC00456,-0.017245572518381578,Dallas,D000311,198.73.211.114,M075,1.3112870641052805,-0.8383624722307964,-0.2067936485059295,-0.12202890098802778,4,17,3,-612,False,True,False,False,True,False,2,1
TX000059,AC00143,0.3046585791713361,Indianapolis,D000145,186.54.68.246,M064,0.1869750562437003,-1.3101291680739329,-0.2067936485059295,0.13238078572469533,4,16,6,-514,True,True,False,True,False,False,1,1
TX000060,AC00427,-0.6355989179683301,Kansas City,D000089,198.166.198.233,M064,-1.218414953583275,-0.9813220770317469,-0.2067936485059295,-1.0727756225562444,0,16,10,-399,True,True,False,False,False,True,1,1
TX000061,AC00438,0.9281851394898614,Indianapolis,D000233,27.143.109.203,M094,0.07454385545754227,0.4625699314578524,-0.2067936485059295,0.09886939125022053,4,18,10,-395,True,False,False,True,False,False,1,1
TX000062,AC00002,-0.11512553860794346,Dallas,D000285,7.146.35.122,M087,1.9296586684291497,1.5347669674649806,1.4528410002061958,-0.2408315377879352,1,16,5,-538,True,True,False,False,True,False,0,1
TX000063,AC00425,0.17830880145404376,Las Vegas,D000516,9.230.41.239,M097,0.1869750562437003,1.5204710069848855,-0.2067936485059295,0.3941670816113332,1,16,11,-363,True,False,True,True,False,False,1,1
TX000064,AC00325,1.0408310367605926,Philadelphia,D000548,125.225.212.244,M001,0.6366998593883324,-0.22363617158670962,-0.2067936485059295,0.8573960873894472,1,17,5,-524,False,True,False,True,False,False,2,1
TX000065,AC00434,-0.9997795408356885,Charlotte,D000461,155.164.18.235,M071,0.2994062570298583,0.062283038015191215,-0.2067936485059295,2.2752408808614075,3,16,11,-368,True,False,True,False,False,False,1,1
TX000066,AC00242,-0.3297968258033214,Nashville,D000098,145.246.171.225,M003,-0.15031854611477377,0.9486325877810838,-0.2067936485059295,-0.6484936773800644,2,17,3,-586,False,True,False,True,False,False,2,1
TX000067,AC00319,0.002830612335830326,Indianapolis,D000435,92.214.76.157,M005,0.6366998593883324,1.5061750465047905,-0.2067936485059295,-0.5383240065476822,1,16,4,-559,True,True,False,False,True,False,1,1
TX000068,AC00460,0.765588597991415,Albuquerque,D000305,131.41.45.13,M063,-1.105983752797117,0.11946687993557138,-0.2067936485059295,-0.8109611227415868,1,18,4,-566,True,True,False,False,False,True,1,1
TX000069,AC00461,-0.6177496136866844,Austin,D000128,46.150.175.171,M057,0.8615622609606484,-1.4816806938350733,-0.2067936485059295,-0.3714029045524825,3,16,2,-634,False,False,True,True,False,False,2,1
TX000070,AC00395,-0.3716279208664489,Indianapolis,D000684,125.89.163.224,M040,-0.7124745500455638,-0.23793213206680466,-0.2067936485059295,-1.0607992091216405,0,16,11,-357,False,True,False,True,False,False,2,1
TX000071,AC00217,-0.5620090799702975,Atlanta,D000201,40.226.196.34,M091,-0.03788734532861574,1.4346952441043153,-0.2067936485059295,-0.3251202586719357,1,16,7,-475,True,False,False,True,False,False,1,1
TX000072,AC00053,-0.5289142086918527,Dallas,D000410,65.164.3.100,M066,-0.5438277488663268,0.21953860329623667,-0.2067936485059295,0.3231957427396068,4,17,1,-661,True,False,True,True,False,False,1,1
TX000073,AC00282,-0.9346861087145238,Boston,D000180,9.230.41.239,M070,0.9739934617468065,-0.9241382351113667,-0.2067936485059295,0.19273719168713907,1,18,7,-489,True,False,False,False,True,False,1,1
TX000074,AC00110,-0.2181444598649658,Jacksonville,D000295,152.140.239.181,M046,-1.0497681524040379,2.292452872910018,-0.2067936485059295,0.3649375562089603,4,16,10,-381,False,False,True,False,False,True,0,1
TX000075,AC00265,3.134475631685065,Indianapolis,D000231,193.83.0.183,M036,-1.387061754762512,-1.367313009994313,-0.2067936485059295,-1.155938750312908,2,16,10,-397,True,True,False,False,False,True,1,1
TX000076,AC00239,-0.2243112060659182,Omaha,D000073,156.173.170.140,M066,-0.4313965480801688,-0.9813220770317469,-0.2067936485059295,0.40397435658186615,3,17,12,-312,True,False,False,True,False,False,1,1
TX000077,AC00007,-0.4623818691237991,Kansas City,D000070,60.153.124.80,M060,-1.274630553976354,-0.09497252726585426,-0.2067936485059295,-1.1487031607790925,0,17,6,-511,True,False,True,False,False,True,1,1
TX000078,AC00022,-0.7059683440614207,Milwaukee,D000363,94.37.250.128,M095,-0.03788734532861574,-0.7239947883900362,-0.2067936485059295,2.4516256827039893,0,16,3,-602,True,True,False,False,False,False,1,1
TX000079,AC00464,-0.6074374436506471,Miami,D000561,162.198.218.92,M045,-1.443277355155591,-0.6096271045492758,-0.2067936485059295,-0.9619880293008822,0,18,12,-322,True,True,False,False,False,True,1,1
TX000080,AC00014,-0.4225720964265394,Seattle,D000375,130.92.201.49,M032,0.2994062570298583,-0.7525867093502262,-0.2067936485059295,1.3881555528208673,0,18,7,-476,True,False,True,False,False,False,1,1
TX000081,AC00406,-0.3901624191704226,Denver,D000488,86.103.2.29,M074,-0.3751809476870898,-0.2522280925468997,-0.2067936485059295,-1.169638167350178,0,18,6,-504,True,False,False,True,False,False,1,1
TX000082,AC00445,0.16374842847957272,Phoenix,D000097,131.41.45.13,M081,0.7491310601744904,-0.5667392231089906,-0.2067936485059295,0.34297438826187915,0,17,10,-378,False,False,True,True,False,False,2,1
TX000083,AC00236,2.1410813381138585,Detroit,D000206,21.97.154.92,M004,1.0302090621398854,-0.46666749974832533,-0.2067936485059295,-0.10216564368169591,0,16,1,-651,True,False,False,False,True,False,1,1
TX000084,AC00220,-0.12910349666343562,Denver,D000616,36.13.239.172,M028,0.2431906566367793,0.7198972200995631,-0.2067936485059295,0.5288382739125815,0,16,11,-364,True,False,True,False,False,False,1,1
TX000085,AC00140,-0.48951555240798983,San Diego,D000494,167.104.180.235,M030,-0.6000433492594058,0.5340497338583277,-0.2067936485059295,-0.920623122869612,0,16,7,-490,True,False,True,False,False,False,1,1
TX000086,AC00098,3.571903495539292,Austin,D000574,165.114.224.47,M012,0.5242686586021743,-1.2815372471137427,-0.2067936485059295,0.9076477951404213,4,17,9,-402,False,False,True,True,False,False,0,1
TX000087,AC00303,-0.9354055624379682,Mesa,D000428,16.131.3.140,M033,1.0864246625329645,-0.7239947883900362,-0.2067936485059295,1.219339659661426,4,17,10,-381,True,True,False,False,False,False,1,1
TX000088,AC00373,0.9266434529396235,Washington,D000018,8.243.4.138,M054,0.1869750562437003,-0.06638060630566417,-0.2067936485059295,1.3954552421910913,0,17,8,-434,True,False,False,False,False,False,1,1
TX000089,AC00438,-0.9866238156069899,San Diego,D000453,132.127.5.187,M043,0.7491310601744904,0.8485608644204186,-0.2067936485059295,1.99212215941795,3,18,6,-501,False,False,True,False,False,False,2,1
TX000090,AC00437,0.3267218266902993,Kansas City,D000141,186.54.68.246,M022,-1.162199353190196,-0.2808200135070898,-0.2067936485059295,-1.1083253918285165,0,16,11,-350,True,False,True,False,False,True,1,1
TX000091,AC00106,1.4366333637583906,Milwaukee,D000322,101.223.82.253,M052,0.8615622609606484,-1.2243534051933627,-0.2067936485059295,-0.2692918651534036,3,16,9,-417,False,False,True,False,True,False,0,1
TX000092,AC00310,-0.2526439788891831,Kansas City,D000481,133.223.159.151,M009,0.4680530582090954,-0.9241382351113667,4.772110297630446,-0.5600769270313429,0,16,10,-399,True,False,False,True,False,False,0,1
TX000093,AC00149,-0.229313122428913,Houston,D000526,60.43.160.195,M049,-1.330846154369433,0.21953860329623667,-0.2067936485059295,-1.1528363182307262,0,18,3,-588,True,True,False,False,False,True,1,1
TX000094,AC00373,0.49514251737853404,Los Angeles,D000645,168.36.49.167,M047,-1.443277355155591,2.006533663308117,-0.2067936485059295,-0.9585497140759189,3,16,12,-319,True,False,True,False,False,True,1,1
TX000095,AC00425,1.1873597784354462,San Antonio,D000178,165.38.56.205,M093,-0.8811213512248008,-0.681106906949751,-0.2067936485059295,-1.0181061540799818,3,16,3,-613,True,False,False,True,False,False,1,1
TX000096,AC00010,0.723175088009309,Mesa,D000622,193.108.17.115,M048,0.35562185742293734,0.10517091945547634,-0.2067936485059295,0.6651273460847859,0,16,6,-497,False,True,False,True,False,False,2,1
TX000097,AC00348,1.9220933285778141,San Francisco,D000019,175.230.206.232,M002,-0.9935525520109589,0.9343366273009888,-0.2067936485059295,-0.8310782154000972,1,17,4,-566,False,True,False,False,False,True,0,1
TX000098,AC00011,-0.932664786348656,Louisville,D000192,62.152.134.92,M007,0.6929154597814113,-0.5953311440691808,-0.2067936485059295,-1.2597574093539148,0,17,7,-476,True,False,False,True,False,False,1,1
TX000099,AC00453,-0.5138056804995192,Charlotte,D000093,149.84.108.18,M028,1.4799338652845175,0.19094668233604659,-0.2067936485059295,-0.7688141983061302,4,17,9,-430,True,True,False,False,True,False,1,1
TX000100,AC00178,-0.6254923061389914,San Antonio,D000528,134.222.122.238,M004,-0.4313965480801688,0.7913770225000384,-0.2067936485059295,0.6485254884549293,0,16,9,-420,True,True,False,False,False,False,1,1
TX000101,AC00265,0.2938667733196694,Fort Worth,D000321,18.72.115.111,M066,-0.8249057508317219,-1.367313009994313,-0.2067936485059295,0.9711450930868917,1,17,1,-650,True,True,False,True,False,False,1,1
TX000102,AC00018,-0.6819522935788226,El Paso,D000528,34.125.226.63,M095,-1.387061754762512,0.677009338659278,-0.2067936485059295,1.0946013780100716,4,16,8,-451,False,False,True,False,False,True,0,1
TX000103,AC00075,-0.7343696362869184,Fort Worth,D000607,21.28.32.1,M009,0.5804842589952534,0.6341214572189929,-0.2067936485059295,-1.008416822808441,0,18,10,-385,False,True,False,False,False,False,2,1
TX000104,AC00464,-0.34750909128050156,Virginia Beach,D000164,204.34.243.93,M099,-0.9935525520109589,0.37679416857728215,-0.2067936485059295,1.1036856068259144,4,16,2,-619,True,True,False,True,False,False,1,1
TX000105,AC00170,-0.5743768320733188,Las Vegas,D000647,111.226.226.202,M045,-0.7124745500455638,1.649134651305741,-0.2067936485059295,0.7283323487772326,0,16,1,-672,True,False,False,True,False,False,1,1
TX000106,AC00235,0.0318828388825395,Colorado Springs,D000078,96.115.67.230,M047,0.07454385545754227,-0.9813220770317469,-0.2067936485059295,1.1034856153363193,3,16,11,-340,True,False,True,True,False,False,1,1
TX000107,AC00013,-0.6256293449434569,Seattle,D000182,115.218.48.83,M032,0.8053466605675694,-0.5667392231089906,-0.2067936485059295,0.2641879973352026,2,16,11,-369,True,False,True,False,True,False,1,1
TX000108,AC00397,1.572507338386043,Sacramento,D000028,174.61.77.54,M012,-0.9935525520109589,-1.4673847333549783,-0.2067936485059295,-1.2034495490590456,0,16,3,-609,True,True,False,False,False,True,1,1
TX000109,AC00423,0.7063193150600389,Los Angeles,D000518,216.151.64.40,M083,-1.274630553976354,-1.2100574447132675,-0.2067936485059295,-1.1964831788381467,0,18,11,-343,True,False,True,False,False,True,1,1
TX000110,AC00154,-0.529530883311948,San Antonio,D000469,197.162.55.147,M055,1.0302090621398854,0.39109012905737717,-0.2067936485059295,0.7351346234169251,0,16,7,-462,True,False,False,False,True,False,1,1
TX000111,AC00068,2.561345091708768,Columbus,D000400,77.7.223.184,M077,0.4680530582090954,-0.666810946469656,-0.2067936485059295,-0.8421187712231337,2,16,11,-348,True,False,False,False,True,False,0,1
TX000112,AC00318,-0.1783346871677061,New York,D000536,44.197.126.59,M089,-1.105983752797117,0.8628568249005136,-0.2067936485059295,-1.0587351943892802,1,16,3,-594,True,False,False,False,False,True,1,1
TX000113,AC00396,-0.14808337108192265,Dallas,D000477,143.212.47.226,M012,0.35562185742293734,0.7770810620199433,-0.2067936485059295,0.9576405395523041,3,18,4,-564,False,False,True,True,False,False,2,1
TX000114,AC00121,-0.28721201731563323,Dallas,D000574,51.250.122.123,M009,1.8734430680360705,2.321044793870208,-0.2067936485059295,-0.40654243487173863,2,17,3,-614,False,False,False,False,True,False,0,1
TX000115,AC00336,0.10369117242251924,Fresno,D000655,188.124.181.12,M051,-0.2627497469009318,-0.22363617158670962,-0.2067936485059295,-1.1881912240003156,4,16,2,-633,True,False,True,True,False,False,1,1
TX000116,AC00468,-1.010982463100752,San Diego,D000673,44.73.3.217,M042,0.1307594558506213,-0.18074829014642452,-0.2067936485059295,1.8027353467582248,4,16,7,-472,True,False,True,False,False,False,1,1
TX000117,AC00282,0.00851772272115303,Austin,D000266,85.240.254.83,M040,1.3112870641052805,-1.038505918952127,-0.2067936485059295,2.1620739016785535,0,17,10,-392,False,False,True,False,False,False,0,1
TX000118,AC00498,-0.8243356114185914,Oklahoma City,D000256,101.90.40.193,M086,-0.09410294572169475,0.03369111705500113,1.4528410002061958,0.1471904119285643,0,16,1,-308,False,False,False,True,False,False,0,1
TX000119,AC00085,0.37704932763029453,Boston,D000544,98.255.160.110,M041,-1.0497681524040379,-0.8240665117507014,-0.2067936485059295,0.8287691004493158,4,16,7,-486,True,False,True,True,False,False,1,1
TX000120,AC00092,-0.6227172703485628,Fresno,D000663,124.6.134.78,M086,-0.31896534729401077,0.677009338659278,-0.2067936485059295,0.3504304812329405,0,17,5,-532,True,True,False,True,False,False,1,1
TX000121,AC00295,-0.8360181694992846,Houston,D000489,45.64.74.86,M025,1.3675026644983594,0.019395156574906088,-0.2067936485059295,-0.8879040023731489,2,16,8,-446,True,False,False,False,True,False,1,1
TX000122,AC00358,-0.8025464415085594,Detroit,D000434,69.82.61.135,M028,0.07454385545754227,0.648417417699088,-0.2067936485059295,1.553943369708361,4,16,11,-353,False,False,True,False,False,False,2,1
TX000123,AC00311,0.06946573100723312,Detroit,D000314,79.227.202.117,M076,-0.9935525520109589,-0.40948365782794516,-0.2067936485059295,-1.2739978290104745,0,17,5,-532,True,False,True,False,False,True,1,1
TX000124,AC00066,0.11667559914563566,Portland,D000037,26.240.219.199,M006,-0.20653414650785276,-0.8383624722307964,-0.2067936485059295,-0.24145971618474077,4,17,8,-437,True,False,True,True,False,False,1,1
TX000125,AC00340,-1.0022804990171859,Washington,D000021,63.67.150.226,M001,0.6366998593883324,-1.1242816818326973,-0.2067936485059295,0.11385593300257744,0,16,11,-343,True,False,False,False,True,False,1,1
TX000126,AC00284,-0.2845397606285538,Detroit,D000112,195.226.203.234,M026,1.4237182648914386,1.8206861770668814,-0.2067936485059295,1.5479410610270494,4,17,8,-458,False,False,True,False,False,False,0,1
TX000127,AC00208,1.0319577741714443,Philadelphia,D000042,92.214.76.157,M081,0.6929154597814113,0.5483456943384226,-0.2067936485059295,-0.9483655320673028,0,16,9,-427,True,True,False,False,False,False,1,1
TX000128,AC00176,1.8626527471408554,Tucson,D000276,101.223.82.253,M083,-1.0497681524040379,-0.5667392231089906,-0.2067936485059295,-1.0283313599838995,2,17,8,-453,True,False,True,False,False,True,1,1
TX000129,AC00053,-0.8888466286207773,Mesa,D000687,77.21.150.75,M005,-1.0497681524040379,-0.16645232966632947,-0.2067936485059295,-1.2334405805179538,3,16,9,-424,True,False,True,False,False,True,1,1
TX000130,AC00320,2.5320187875531275,San Antonio,D000015,53.218.177.171,M062,0.7491310601744904,0.34820224761709206,-0.2067936485059295,0.10955098798936833,1,16,7,-482,True,True,False,False,False,False,1,1
TX000131,AC00382,-0.5922603960560809,Oklahoma City,D000118,147.234.20.46,M004,-0.6562589496524849,-0.20934021110661458,-0.2067936485059295,0.30652465728642897,0,17,7,-490,True,True,False,True,False,False,1,1
TX000132,AC00384,0.016637271885740434,San Antonio,D000052,203.99.96.114,M059,1.8734430680360705,-1.1385776423127922,-0.2067936485059295,0.004950310944175081,0,17,9,-406,False,True,False,False,True,False,2,1
